word,response
hi,go away; nobody wants you here.
hello,bye. go away.
cocksucker,perhaps you should suck your own cock
motherfucker,thats what you are; you fuck.
hola,go back to the mexican side of the trump wall
你好,你是个臭婊子
nigga,YO N-WORD ALERT
cunt,reevaluate your life choices instead of being a cunt
stfu,no u stfu
ass,go shove your balls up your mom's ass
shit,thats what you are lol
noob,thats basically you when you live life lol
fuck,go and fuck yourself instead
penis,you obviously don't have one
bonjour,tais-toi!
