[2023-03-14 05:48:49] [INFO    ] discord.client: logging in using static token
[2023-03-14 05:48:50] [INFO    ] discord.gateway: Shard ID 0 has connected to Gateway (Session ID: 67e4dab0065163a49ac033b6949103b3).
[2023-03-14 05:48:56] [INFO    ] discord.gateway: Shard ID 1 has connected to Gateway (Session ID: 15c29955939561fee47e58b772ea3fcd).
[2023-03-14 05:49:52] [INFO    ] discord.client: logging in using static token
[2023-03-14 05:49:53] [INFO    ] discord.gateway: Shard ID 0 has connected to Gateway (Session ID: 44b1549ea62378a120536ea7db294259).
[2023-03-14 05:49:59] [INFO    ] discord.gateway: Shard ID 1 has connected to Gateway (Session ID: e2f6c0c8736194648f26fc74de3a2f7f).
[2023-03-14 05:50:52] [INFO    ] discord.client: logging in using static token
[2023-03-14 05:50:54] [INFO    ] discord.gateway: Shard ID 0 has connected to Gateway (Session ID: 6dcfb55b434f5e7a4c6ee6faba42754d).
[2023-03-14 05:50:59] [INFO    ] discord.gateway: Shard ID 1 has connected to Gateway (Session ID: be318fa6a0040444ab3c362e055fa337).
[2023-03-14 06:10:52] [INFO    ] discord.gateway: Shard ID 1 has successfully RESUMED session be318fa6a0040444ab3c362e055fa337.
[2023-03-14 06:26:50] [INFO    ] discord.client: logging in using static token
[2023-03-14 06:26:52] [INFO    ] discord.gateway: Shard ID 0 has connected to Gateway (Session ID: 1030d414574589ddf99b4b207cb4ff34).
[2023-03-14 06:26:57] [INFO    ] discord.gateway: Shard ID 1 has connected to Gateway (Session ID: 49662cff51f96a73fd0633527b6df6c9).
[2023-03-14 06:32:15] [INFO    ] discord.client: logging in using static token
[2023-03-14 06:33:23] [INFO    ] discord.client: logging in using static token
[2023-03-14 06:35:38] [INFO    ] discord.client: logging in using static token
[2023-03-14 06:35:40] [INFO    ] discord.gateway: Shard ID 0 has connected to Gateway (Session ID: 329ea7da6ac0e588bc8c7f94d8bd06e4).
[2023-03-14 06:35:45] [INFO    ] discord.gateway: Shard ID 1 has connected to Gateway (Session ID: 313b31c862e35fc18cf4934235ec4e1b).
[2023-03-14 06:37:01] [INFO    ] discord.client: logging in using static token
[2023-03-14 06:37:03] [INFO    ] discord.gateway: Shard ID 0 has connected to Gateway (Session ID: a618cb27b32f3d62b36632c1b0fbbb3a).
